O.P.,Cantidad,SKU,Descripcion,Lote,Consumo,Folio
571,2,MR20090   ,SET TES DE CHINA                                                                                    ,25013     ,01/2027,316
571,1,MR20091   ,SET TES DE JAPON                                                                                    ,25013     ,01/2027,316
571,1,MR20278   ,ALIGERA-TE                                                                                          ,25013     ,01/2027,316
571,1,MR20281   ,DORMIR-TE                                                                                           ,25013     ,01/2027,316
571,1,MR20285   ,LATA CONMEMORATIVA LUCKY RABBIT                                                                     ,25013     ,01/2027,316
571,1,MR20287   ,SET TETERA MAGICA CON TAZA                                                                          ,25013     ,01/2027,316
571,1,MR20305   ,TEA BOX MOON MILKS                                                                                  ,25013     ,01/2027,316
571,1,MR20324   ,KIT MONARCA 2024                                                                                    ,25013     ,01/2027,316
571,1,TE40000   ,LATA SAMPLE EUROTE ABRIL EN MEXICO                                                                  ,25013     ,01/2027,316
571,2,TE40001   ,LATA SAMPLE EUROTE AMARETTO                                                                         ,25013     ,01/2027,316
571,1,TE40006   ,LATA SAMPLE EUROTE BI LO CHUN                                                                       ,25013     ,01/2027,316
571,1,TE40009   ,LATA SAMPLE EUROTE BLANCO FRESA IMPERIAL                                                            ,25013     ,01/2027,316
571,1,TE40010   ,LATA SAMPLE EUROTE BLANCO ANIVERSARIO                                                               ,25013     ,01/2027,316
571,1,TE40018   ,LATA SAMPLE EUROTE CERO ESTRESS                                                                     ,25013     ,01/2027,316
571,1,TE40031   ,LATA SAMPLE EUROTE DATIL CITRUS                                                                     ,25013     ,01/2027,316
571,1,TE40049   ,LATA SAMPLE EUROTE GOJI BERRY                                                                       ,25013     ,01/2027,316
571,1,TE40061   ,LATA SAMPLE EUROTE HONEY BEE                                                                        ,25013     ,01/2027,316
571,2,TE40064   ,LATA SAMPLE EUROTE HURRICANE                                                                        ,25013     ,01/2027,316
571,1,TE40065   ,LATA SAMPLE EUROTE ICEBREAKER                                                                       ,25013     ,01/2027,316
571,1,TE40066   ,LATA SAMPLE EUROTE JAPAN GARDEN                                                                     ,25013     ,01/2027,316
571,2,TE40070   ,LATA SAMPLE EUROTE JENGIBRE MANDARIN                                                                ,25013     ,01/2027,316
571,1,TE40074   ,LATA SAMPLE EUROTE MANILA                                                                           ,25013     ,01/2027,316
571,1,TE40081   ,LATA SAMPLE EUROTE MEDITACION                                                                       ,25013     ,01/2027,316
571,1,TE40084   ,LATA SAMPLE EUROTE MORAS DE LA SELVA                                                                ,25013     ,01/2027,316
571,3,TE40085   ,LATA SAMPLE EUROTE MOSCU                                                                            ,25013     ,01/2027,316
