Folio,Origen,SKU,Descripcion,Cantidad,Stock Min
316,WEB,AC10139   ,TETERA TOKIO CIELO                                                                                  ,1.0,0.0
316,WEB,AC11011   ,VASO TE SPORT MORADO DE 600 ML.                                                                     ,1.0,0.0
316,WEB,AC11012   ,VASO TE SPORT GRIS DE 600 ML.                                                                       ,1.0,0.0
316,WEB,AC11015   ,TERMO MUEVE-TE GRIS DE 400 ML.                                                                      ,1.0,0.0
316,WEB,AC13035   ,TARRO CON INFUSOR BELLOTA                                                                           ,1.0,0.0
316,WEB,AC13036   ,TAZA CON INFUSOR BOLITA                                                                             ,1.0,0.0
316,WEB,AC13038   ,TARRO CILINDRO C/INF. ACERO ASA AMARILLO                                                            ,1.0,0.0
316,WEB,AC13043   ,TAZA DE VIDRIO 300 ML                                                                               ,24.0,0.0
316,WEB,AC14004   ,CUCHARA MEDIDORA                                                                                    ,2.0,2.0
316,WEB,AC15026   ,PINZA BOLA RED                                                                                      ,4.0,2.0
316,WEB,AC15078   ,INFUSOR TETERITA AZUL                                                                               ,1.0,0.0
316,WEB,MR20064   ,KIT SERENO MORENO                                                                                   ,1.0,2.0
316,WEB,MR20085   ,SET LOS COLORES DEL TE                                                                              ,1.0,0.0
316,WEB,MR20127   ,KIT CHA CHA CHAI 6 LATAS                                                                            ,1.0,0.0
316,WEB,MR20239   ,KIT OTOÑO 2022                                                                                      ,1.0,0.0
316,WEB,MR20274   ,EMBELLECE-TE                                                                                        ,1.0,0.0
316,SAE,MR21048   ,EXHIBIDOR BARRA BLANCO                                                                              ,1.0,2.0
316,WEB,TE40013   ,LATA SAMPLE EUROTE BLANCO RUSIA                                                                     ,1.0,2.0
316,SAE,TE40015   ,LATA SAMPLE EUROTE BORA BORA                                                                        ,1.0,2.0
316,WEB,TE40023   ,LATA SAMPLE EUROTE CHERRY FESTIVAL                                                                  ,1.0,2.0
316,WEB,TE40047   ,LATA SAMPLE EUROTE GENMAICHA                                                                        ,1.0,1.0
316,WEB,TE40102   ,LATA SAMPLE EUROTE PU ERH CHAI TIBET                                                                ,1.0,2.0
316,WEB,TE40118   ,LATA SAMPLE EUROTE ROOIBOS B. VAINILLA                                                              ,1.0,2.0
316,WEB,TE40206   ,LATA SAMPLE EUROTE XOCOLATE                                                                         ,2.0,1.0
316,SAE,TE40329   ,PILLOW MIST                                                                                         ,1.0,0.0
